Tempo,Media Movel
1961.4583,7076.083333333333
1961.5417,7078.666666666667
1961.625,7079.916666666667
1961.7083,7079.916666666667
1961.7917,7075.833333333333
1961.875,7069.166666666667
1961.9583,7068.416666666667
1962.0417,7052.666666666667
1962.125,7046.583333333333
1962.2083,7033.166666666667
1962.2917,7031.916666666667
1962.375,7028.333333333333
1962.4583,7021.5
1962.5417,7017.916666666667
1962.625,7015.666666666667
1962.7083,7017.166666666667
1962.7917,7027.083333333333
1962.875,7034.75
1962.9583,7036.25
1963.0417,7031.166666666667
1963.125,7032.666666666667
1963.2083,7032.916666666667
1963.2917,7045.833333333333
1963.375,7049.916666666667
1963.4583,7054.75
1963.5417,7061.083333333333
1963.625,7062.333333333333
1963.7083,7069.166666666667
1963.7917,7073.25
1963.875,7081.333333333333
1963.9583,7082.083333333333
1964.0417,7103.916666666667
1964.125,7083.916666666667
1964.2083,7082.083333333333
1964.2917,7061.5
1964.375,7050.333333333333
1964.4583,7049.583333333333
1964.5417,7046.583333333333
1964.625,7049.083333333333
1964.7083,7041.0
1964.7917,7028.833333333333
1964.875,7018.666666666667
1964.9583,7025.75
1965.0417,7022.75
1965.125,7033.416666666667
1965.2083,7032.166666666667
1965.2917,7048.666666666667
1965.375,7048.333333333333
1965.4583,7045.5
1965.5417,7047.0
1965.625,7048.833333333333
1965.7083,7051.583333333333
1965.7917,7058.416666666667
1965.875,7069.333333333333
1965.9583,7068.583333333333
1966.0417,7072.166666666667
1966.125,7079.75
1966.2083,7089.916666666667
1966.2917,7082.833333333333
1966.375,7087.916666666667
1966.4583,7088.166666666667
1966.5417,7087.916666666667
1966.625,7083.333333333333
1966.7083,7082.833333333333
1966.7917,7078.0
1966.875,7072.416666666667
1966.9583,7078.0
1967.0417,7075.416666666667
1967.125,7070.833333333333
1967.2083,7074.166666666667
1967.2917,7081.5
1967.375,7080.25
1967.4583,7089.166666666667
1967.5417,7090.416666666667
1967.625,7093.416666666667
1967.7083,7092.666666666667
1967.7917,7099.583333333333
1967.875,7093.25
1967.9583,7081.083333333333
1968.0417,7080.833333333333
1968.125,7090.75
1968.2083,7087.916666666667
1968.2917,7077.25
1968.375,7083.583333333333
1968.4583,7078.0
1968.5417,7080.083333333333
1968.625,7087.0
1968.7083,7091.083333333333
1968.7917,7093.833333333333
1968.875,7102.25
1968.9583,7115.666666666667
1969.0417,7124.333333333333
1969.125,7131.416666666667
1969.2083,7127.583333333333
1969.2917,7145.416666666667
1969.375,7150.0
1969.4583,7158.666666666667
1969.5417,7156.333333333333
1969.625,7148.666666666667
1969.7083,7151.166666666667
1969.7917,7146.583333333333
1969.875,7139.916666666667
1969.9583,7134.583333333333
1970.0417,7128.166666666667
1970.125,7117.0
1970.2083,7116.25
1970.2917,7098.916666666667
1970.375,7089.0
1970.4583,7081.833333333333
1970.5417,7081.083333333333
1970.625,7078.583333333333
1970.7083,7071.5
1970.7917,7069.75
1970.875,7074.333333333333
1970.9583,7075.416666666667
1971.0417,7066.333333333333
1971.125,7057.25
1971.2083,7059.333333333333
1971.2917,7068.0
1971.375,7071.333333333333
1971.4583,7073.166666666667
1971.5417,7075.5
1971.625,7080.833333333333
1971.7083,7084.166666666667
1971.7917,7081.833333333333
1971.875,7075.75
1971.9583,7069.333333333333
1972.0417,7070.833333333333
1972.125,7083.25
1972.2083,7090.333333333333
1972.2917,7093.666666666667
1972.375,7096.5
1972.4583,7098.5
1972.5417,7103.0
1972.625,7106.583333333333
1972.7083,7110.083333333333
1972.7917,7112.666666666667
1972.875,7119.833333333333
1972.9583,7124.666666666667
1973.0417,7134.583333333333
1973.125,7133.833333333333
1973.2083,7129.25
1973.2917,7111.916666666667
1973.375,7105.75
1973.4583,7099.416666666667
1973.5417,7089.833333333333
1973.625,7080.416666666667
1973.7083,7072.833333333333
1973.7917,7069.25
1973.875,7069.25
1973.9583,7073.583333333333
1974.0417,7067.0
1974.125,7063.166666666667
1974.2083,7070.25
1974.2917,7087.583333333333
1974.375,7092.166666666667
1974.4583,7098.75
1974.5417,7106.083333333333
1974.625,7110.416666666667
1974.7083,7112.416666666667
1974.7917,7108.916666666667
1974.875,7103.25
1974.9583,7091.833333333333
1975.0417,7084.666666666667
1975.125,7088.75
1975.2083,7081.416666666667
1975.2917,7072.5
1975.375,7067.666666666667
1975.4583,7060.833333333333
1975.5417,7057.0
1975.625,7054.166666666667
1975.7083,7051.166666666667
1975.7917,7062.333333333333
1975.875,7068.0
1975.9583,7066.0
1976.0417,7068.583333333333
1976.125,7067.083333333333
1976.2083,7062.75
1976.2917,7067.083333333333
1976.375,7071.416666666667
1976.4583,7074.916666666667
1976.5417,7079.75
1976.625,7086.583333333333
1976.7083,7094.416666666667
1976.7917,7089.833333333333
1976.875,7080.666666666667
1976.9583,7081.916666666667
1977.0417,7078.083333333333
1977.125,7071.916666666667
1977.2083,7066.583333333333
1977.2917,7054.916666666667
1977.375,7056.666666666667
1977.4583,7054.166666666667
1977.5417,7046.333333333333
1977.625,7046.083333333333
1977.7083,7047.833333333333
1977.7917,7050.333333333333
1977.875,7059.166666666667
1977.9583,7074.416666666667
1978.0417,7097.0
1978.125,7113.0
1978.2083,7124.166666666667
1978.2917,7140.166666666667
1978.375,7137.166666666667
1978.4583,7141.0
1978.5417,7146.583333333333
1978.625,7147.916666666667
1978.7083,7148.5
1978.7917,7143.416666666667
1978.875,7132.75
1978.9583,7110.916666666667
1979.0417,7088.833333333333
1979.125,7083.0
1979.2083,7079.25
1979.2917,7073.916666666667
1979.375,7072.916666666667
1979.4583,7067.0
1979.5417,7065.166666666667
1979.625,7059.5
1979.7083,7056.166666666667
1979.7917,7063.583333333333
1979.875,7069.75
1979.9583,7085.75
1980.0417,7096.916666666667
1980.125,7098.25
1980.2083,7101.25
1980.2917,7103.5
1980.375,7107.25
1980.4583,7112.916666666667
1980.5417,7111.166666666667
1980.625,7112.0
1980.7083,7111.25
1980.7917,7104.583333333333
1980.875,7104.583333333333
1980.9583,7103.0
1981.0417,7103.75
1981.125,7098.166666666667
1981.2083,7095.916666666667
1981.2917,7093.166666666667
1981.375,7093.75
1981.4583,7094.0
1981.5417,7094.25
1981.625,7094.25
1981.7083,7093.75
1981.7917,7100.916666666667
1981.875,7112.083333333333
1981.9583,7115.416666666667
1982.0417,7110.333333333333
1982.125,7112.583333333333
1982.2083,7122.5
1982.2917,7133.416666666667
1982.375,7130.583333333333
1982.4583,7135.083333333333
1982.5417,7140.416666666667
1982.625,7143.416666666667
1982.7083,7149.0
1982.7917,7154.083333333333
1982.875,7158.916666666667
1982.9583,7165.5
1983.0417,7188.916666666667
1983.125,7210.75
1983.2083,7222.416666666667
1983.2917,7220.833333333333
1983.375,7229.5
1983.4583,7231.083333333333
1983.5417,7237.166666666667
1983.625,7243.0
1983.7083,7243.25
1983.7917,7236.916666666667
1983.875,7242.5
1983.9583,7228.833333333333
1984.0417,7201.666666666667
1984.125,7181.333333333333
1984.2083,7165.083333333333
1984.2917,7159.5
1984.375,7156.416666666667
1984.4583,7151.583333333333
1984.5417,7143.25
1984.625,7139.0
1984.7083,7138.25
1984.7917,7141.0
1984.875,7134.583333333333
1984.9583,7132.75
1985.0417,7130.166666666667
1985.125,7114.916666666667
1985.2083,7101.166666666667
1985.2917,7096.833333333333
1985.375,7092.0
1985.4583,7091.5
1985.5417,7092.75
1985.625,7087.916666666667
1985.7083,7086.583333333333
1985.7917,7082.5
1985.875,7064.25
1985.9583,7056.916666666667
1986.0417,7071.416666666667
1986.125,7091.25
1986.2083,7106.0
1986.2917,7105.75
1986.375,7110.833333333333
1986.4583,7112.583333333333
1986.5417,7111.583333333333
1986.625,7114.333333333333
1986.7083,7113.583333333333
1986.7917,7111.083333333333
1986.875,7113.916666666667
1986.9583,7125.583333333333
1987.0417,7120.5
1987.125,7117.25
1987.2083,7119.5
1987.2917,7122.083333333333
1987.375,7124.166666666667
1987.4583,7122.416666666667
1987.5417,7127.75
1987.625,7127.5
1987.7083,7125.5
1987.7917,7124.75
1987.875,7127.25
1987.9583,7127.75
1988.0417,7126.0
1988.125,7109.166666666667
1988.2083,7095.0
1988.2917,7096.5
1988.375,7094.416666666667
1988.4583,7095.416666666667
1988.5417,7089.583333333333
1988.625,7088.333333333333
1988.7083,7085.5
1988.7917,7084.416666666667
1988.875,7090.25
1988.9583,7078.083333333333
1989.0417,7069.166666666667
1989.125,7066.666666666667
1989.2083,7077.583333333333
1989.2917,7076.583333333333
1989.375,7075.833333333333
1989.4583,7075.25
1989.5417,7075.916666666667
1989.625,7075.0
1989.7083,7078.333333333333
1989.7917,7080.916666666667
1989.875,7071.166666666667
1989.9583,7071.666666666667
1990.0417,7081.666666666667
1990.125,7094.166666666667
1990.2083,7085.833333333333
1990.2917,7085.0
1990.375,7083.333333333333
